PubTest5.bar: in00:  PubTest5.foo.in02 => $i0: [-inf, +inf]
PubTest5.bar: in00:  PubTest5.foo.in02 => $i1: [-inf, +inf]
PubTest5.bar: in00:  PubTest5.foo.in02 => PubTest5.a: [1, 1]
PubTest5.bar: in00:  PubTest5.foo.in02 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in00:  PubTest5.foo.in04 => $i0: [-inf, +inf]
PubTest5.bar: in00:  PubTest5.foo.in04 => $i1: [-inf, +inf]
PubTest5.bar: in00:  PubTest5.foo.in04 => PubTest5.a: [2, 2]
PubTest5.bar: in00:  PubTest5.foo.in04 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in01:  PubTest5.foo.in02 => $i0: [1, 1]
PubTest5.bar: in01:  PubTest5.foo.in02 => $i1: [-inf, +inf]
PubTest5.bar: in01:  PubTest5.foo.in02 => PubTest5.a: [1, 1]
PubTest5.bar: in01:  PubTest5.foo.in02 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in01:  PubTest5.foo.in04 => $i0: [2, 2]
PubTest5.bar: in01:  PubTest5.foo.in04 => $i1: [-inf, +inf]
PubTest5.bar: in01:  PubTest5.foo.in04 => PubTest5.a: [2, 2]
PubTest5.bar: in01:  PubTest5.foo.in04 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in02:  PubTest5.foo.in02 => $i0: [1, 1]
PubTest5.bar: in02:  PubTest5.foo.in02 => $i1: [2, 2]
PubTest5.bar: in02:  PubTest5.foo.in02 => PubTest5.a: [1, 1]
PubTest5.bar: in02:  PubTest5.foo.in02 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in02:  PubTest5.foo.in04 => $i0: [2, 2]
PubTest5.bar: in02:  PubTest5.foo.in04 => $i1: [3, 3]
PubTest5.bar: in02:  PubTest5.foo.in04 => PubTest5.a: [2, 2]
PubTest5.bar: in02:  PubTest5.foo.in04 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in03:  PubTest5.foo.in02 => $i0: [1, 1]
PubTest5.bar: in03:  PubTest5.foo.in02 => $i1: [2, 2]
PubTest5.bar: in03:  PubTest5.foo.in02 => PubTest5.a: [2, 2]
PubTest5.bar: in03:  PubTest5.foo.in02 => PubTest5.randInt: [-inf, +inf]
PubTest5.bar: in03:  PubTest5.foo.in04 => $i0: [2, 2]
PubTest5.bar: in03:  PubTest5.foo.in04 => $i1: [3, 3]
PubTest5.bar: in03:  PubTest5.foo.in04 => PubTest5.a: [3, 3]
PubTest5.bar: in03:  PubTest5.foo.in04 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in00:  PubTest5.main.in05 => $i0: [-inf, +inf]
PubTest5.foo: in00:  PubTest5.main.in05 => PubTest5.a: [1, 1]
PubTest5.foo: in00:  PubTest5.main.in05 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in00:  PubTest5.main.in08 => $i0: [-inf, +inf]
PubTest5.foo: in00:  PubTest5.main.in08 => PubTest5.a: [2, 2]
PubTest5.foo: in00:  PubTest5.main.in08 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in01:  PubTest5.main.in05 => $i0: [1, 1]
PubTest5.foo: in01:  PubTest5.main.in05 => PubTest5.a: [1, 1]
PubTest5.foo: in01:  PubTest5.main.in05 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in01:  PubTest5.main.in08 => $i0: [2, 2]
PubTest5.foo: in01:  PubTest5.main.in08 => PubTest5.a: [2, 2]
PubTest5.foo: in01:  PubTest5.main.in08 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in02:  PubTest5.main.in05 => $i0: [1, 1]
PubTest5.foo: in02:  PubTest5.main.in05 => PubTest5.a: [1, 1]
PubTest5.foo: in02:  PubTest5.main.in05 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in03:  PubTest5.main.in05 => $i0: [1, 1]
PubTest5.foo: in03:  PubTest5.main.in05 => PubTest5.a: [2, 2]
PubTest5.foo: in03:  PubTest5.main.in05 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in03:  PubTest5.main.in08 => $i0: [1, 1]
PubTest5.foo: in03:  PubTest5.main.in08 => PubTest5.a: [2, 2]
PubTest5.foo: in03:  PubTest5.main.in08 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in04:  PubTest5.main.in08 => $i0: [2, 2]
PubTest5.foo: in04:  PubTest5.main.in08 => PubTest5.a: [2, 2]
PubTest5.foo: in04:  PubTest5.main.in08 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in05:  PubTest5.main.in05 => $i0: [2, 2]
PubTest5.foo: in05:  PubTest5.main.in05 => PubTest5.a: [3, 3]
PubTest5.foo: in05:  PubTest5.main.in05 => PubTest5.randInt: [-inf, +inf]
PubTest5.foo: in05:  PubTest5.main.in08 => $i0: [2, 2]
PubTest5.foo: in05:  PubTest5.main.in08 => PubTest5.a: [3, 3]
PubTest5.foo: in05:  PubTest5.main.in08 => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in00:  @ => $i0: [-inf, +inf]
PubTest5.main: in00:  @ => $i1: [-inf, +inf]
PubTest5.main: in00:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in00:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in01:  @ => $i0: [-inf, +inf]
PubTest5.main: in01:  @ => $i1: [-inf, +inf]
PubTest5.main: in01:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in01:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in02:  @ => $i0: [-inf, +inf]
PubTest5.main: in02:  @ => $i1: [-inf, +inf]
PubTest5.main: in02:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in02:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in03:  @ => $i0: [-inf, +inf]
PubTest5.main: in03:  @ => $i1: [-inf, +inf]
PubTest5.main: in03:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in03:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in04:  @ => $i0: [-inf, +inf]
PubTest5.main: in04:  @ => $i1: [1, 1]
PubTest5.main: in04:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in04:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in05:  @ => $i0: [-inf, +inf]
PubTest5.main: in05:  @ => $i1: [1, 1]
PubTest5.main: in05:  @ => PubTest5.a: [1, 1]
PubTest5.main: in05:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in06:  @ => $i0: [-inf, +inf]
PubTest5.main: in06:  @ => $i1: [1, 1]
PubTest5.main: in06:  @ => PubTest5.a: [2, 3]
PubTest5.main: in06:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in07:  @ => $i0: [-inf, +inf]
PubTest5.main: in07:  @ => $i1: [-inf, +inf]
PubTest5.main: in07:  @ => PubTest5.a: [-inf, +inf]
PubTest5.main: in07:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in08:  @ => $i0: [-inf, +inf]
PubTest5.main: in08:  @ => $i1: [-inf, +inf]
PubTest5.main: in08:  @ => PubTest5.a: [2, 2]
PubTest5.main: in08:  @ => PubTest5.randInt: [-inf, +inf]
PubTest5.main: in09:  @ => $i0: [-inf, +inf]
PubTest5.main: in09:  @ => $i1: [-inf, +inf]
PubTest5.main: in09:  @ => PubTest5.a: [2, 3]
PubTest5.main: in09:  @ => PubTest5.randInt: [-inf, +inf]
